Variable,ADF Statistic,p-value,ADF Stationarity
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-8.563617138032251,8.562989614886549e-14,Stationary
forearm.L YROT,-7.671181663142013,1.592104326953719e-11,Stationary
forearm.L ZROT,-6.657806069735392,4.933370872466638e-09,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-5.523816484570366,1.8519644903775331e-06,Stationary
shoulder.R YROT,-5.136003070811854,1.1860980663704217e-05,Stationary
shoulder.R ZROT,-5.82048945270753,4.194171814052926e-07,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-7.139040934742027,3.361531247610151e-10,Stationary
upper_arm.R YROT,-7.9623506750967,2.9256786695276616e-12,Stationary
upper_arm.R ZROT,-7.51537463694407,3.916007272207474e-11,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-8.674125934669286,4.463731851198796e-14,Stationary
forearm.R YROT,-7.395364175771808,7.803868236970964e-11,Stationary
forearm.R ZROT,-6.884231073751819,1.4079561356785634e-09,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-10.093191278232423,1.1082233203933973e-17,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-10.384861663879924,2.0928149332926543e-18,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-9.637553985987134,1.5518912279818498e-16,Stationary
thigh.L XROT,-5.61013829479251,1.2087547755145508e-06,Stationary
thigh.L YROT,-7.397863408991524,7.692877815650368e-11,Stationary
thigh.L ZROT,-4.960886684989391,2.650826895645888e-05,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-4.927797746088506,3.078015148853401e-05,Stationary
shin.L YROT,-5.513702075807946,1.946308335537588e-06,Stationary
shin.L ZROT,-6.128522230714278,8.512757330639925e-08,Stationary
foot.L XROT,-6.962487503819924,9.089205238073857e-10,Stationary
foot.L YROT,-6.34150183342701,2.7475429997792904e-08,Stationary
foot.L ZROT,-5.307088142664793,5.293539096485781e-06,Stationary
heel.02.L XROT,-6.898591641711516,1.299509611241663e-09,Stationary
heel.02.L YROT,-7.820115907357424,6.7051461070969444e-12,Stationary
heel.02.L ZROT,-5.975878136946728,1.8881010148703937e-07,Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-9.156184240437199,2.606066852497078e-15,Stationary
thigh.R XROT,-6.661963274652711,4.821937575699889e-09,Stationary
thigh.R YROT,-6.8871614759102044,1.3851233023162115e-09,Stationary
thigh.R ZROT,-6.399819385024465,2.0084182995203665e-08,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-7.25293586763951,1.7607159122647423e-10,Stationary
shin.R YROT,-6.552334681941874,8.787605952958263e-09,Stationary
shin.R ZROT,-6.655073193992694,5.008005857046986e-09,Stationary
foot.R XROT,-6.737454277212738,3.180803992539923e-09,Stationary
foot.R YROT,-5.788540055551403,4.933889803402898e-07,Stationary
foot.R ZROT,-5.4213565199096925,3.0543639229836447e-06,Stationary
heel.02.R XROT,-6.9080889545259,1.2323703565156757e-09,Stationary
heel.02.R YROT,-6.691348586699332,4.102065626776552e-09,Stationary
heel.02.R ZROT,-6.497783714407473,1.1824110215716907e-08,Stationary
